Sr No,Problem Name,Comapny,Link
1,Selection Sort,Google,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/
2,Bubble Sort,Facebook,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/
3,Insertion Sort,Microsoft,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/
4,Merge Sort,Spotify,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/
5,Recursive Bubble Sor,Samsung,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/
6,Recursive Bubble Sor,Nokia,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/
7,Quick Sort,Fourkites,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/
8,Check if the Array is Sorted,IBM,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/
9,Move Zeros to End,Dellote,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/
10,Linear Search,TCS,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/
